127.0.0.1, 2017-06-01 23:35:54, GET, /admin/default/site, HTTP/1.1, 200, 0.052851
127.0.0.1, 2017-06-01 23:35:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000237
127.0.0.1, 2017-06-01 23:35:57, GET, /projectpartager/default/index, HTTP/1.1, 200, 0.072342
127.0.0.1, 2017-06-01 23:35:57, GET, /projectpartager/static/images/sharem.jpg, HTTP/1.1, 200, 0.000476
127.0.0.1, 2017-06-01 23:35:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000595
127.0.0.1, 2017-06-01 23:36:01, GET, /projectpartager/default/home, HTTP/1.1, 200, 0.214406
127.0.0.1, 2017-06-01 23:36:01, GET, /projectpartager/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000375
127.0.0.1, 2017-06-01 23:36:01, GET, /projectpartager/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000358
127.0.0.1, 2017-06-01 23:36:01, GET, /projectpartager/static/js/jquery.js, HTTP/1.1, 200, 0.000462
127.0.0.1, 2017-06-01 23:36:01, GET, /projectpartager/static/js/calendar.js, HTTP/1.1, 200, 0.000472
127.0.0.1, 2017-06-01 23:36:01, GET, /projectpartager/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000431
127.0.0.1, 2017-06-01 23:36:01, GET, /projectpartager/static/css/calendar.css, HTTP/1.1, 200, 0.003857
127.0.0.1, 2017-06-01 23:36:01, GET, /projectpartager/static/js/web2py.js, HTTP/1.1, 200, 0.000441
127.0.0.1, 2017-06-01 23:36:01, GET, /projectpartager/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000486
127.0.0.1, 2017-06-01 23:36:01, GET, /projectpartager/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000366
127.0.0.1, 2017-06-01 23:36:01, GET, /projectpartager/static/js/share.js, HTTP/1.1, 200, 0.000754
127.0.0.1, 2017-06-01 23:36:01, GET, /projectpartager/default/download/project.logo.8ced75beca687601.3336302e6a706567.jpeg, HTTP/1.1, 200, 0.054414
127.0.0.1, 2017-06-01 23:36:01, GET, /projectpartager/default/download/project.image.86c0b4c730e9f144.73637265656e5f3336302e6a7067.jpg, HTTP/1.1, 200, 0.053104
127.0.0.1, 2017-06-01 23:36:01, GET, /projectpartager/default/download/project.logo.bf5b291833b7f5e4.6869622e706e67.png, HTTP/1.1, 200, 0.051357
127.0.0.1, 2017-06-01 23:36:01, GET, /projectpartager/default/download/project.image.83d0f03ba5ffa990.68696265726e6174652e706e67.png, HTTP/1.1, 200, 0.051801
127.0.0.1, 2017-06-01 23:36:01, GET, /projectpartager/default/download/project.logo.b7d8b3d81c2a0137.7761727a6f6e656c6f676f2e6a706567.jpeg, HTTP/1.1, 200, 0.039212
